ward,total_population,black_percentage,white_percentage,asian_percentage,other_races_percentage,hispanic_percentage,median_income,under_18_percentage,seniors_percentage
Ward 1,79448,23.7,51.4,6.1,18.8,20.4,118395,14.7,1.4
Ward 2,77904,11.1,66.8,9.8,12.3,13.6,128048,5.9,3.4
Ward 3,79851,8.6,74.0,6.4,11.1,10.7,141393,17.0,3.3
Ward 4,86071,48.7,28.5,1.7,21.1,21.1,115068,24.1,1.5
Ward 5,89628,59.6,26.0,3.1,11.3,10.1,92398,19.3,2.4
Ward 6,80772,23.1,63.0,4.8,9.1,8.5,133590,12.7,1.6
Ward 7,89870,84.8,7.3,0.6,7.3,5.0,62243,24.3,1.7
Ward 8,87043,83.4,9.6,1.0,6.0,3.6,48609,27.7,1.6
