month_name,Ward 3,Ward 4,Ward 5,Ward 6,Ward 7,Ward 8,Ward 1,Ward 2
January,1,1,8,7,24,25,0,0
February,10,6,43,53,48,95,14,7
March,12,10,42,52,68,77,37,13
April,11,18,52,57,69,96,23,31
May,11,17,39,50,73,85,22,24
June,13,18,63,45,86,108,23,30
July,15,21,60,41,71,105,22,19
August,12,15,55,51,68,54,19,16
September,21,23,56,56,55,80,33,16
October,15,19,36,30,34,77,17,28
November,0,0,7,6,2,0,0,1
December,14,17,50,45,55,78,18,14
